,Model,Attack,Accuracy
0,cifar_deit_tiny_patch16_224,Clean,79.34
1,cifar_deit_tiny_patch16_224,PGD20,49.59
2,cifar_deit_tiny_patch16_224,PGD100,49.54
3,cifar_deit_tiny_patch16_224,C&W20,46.53
4,cifar_deit_tiny_patch16_224,AutoAttack,45.83
5,cifar_deit_tiny_patch16_224_ARD_PRM,Clean,80.52
6,cifar_deit_tiny_patch16_224_ARD_PRM,PGD20,50.73
7,cifar_deit_tiny_patch16_224_ARD_PRM,PGD100,50.660000000000004
8,cifar_deit_tiny_patch16_224_ARD_PRM,C&W20,47.660000000000004
9,cifar_deit_tiny_patch16_224_ARD_PRM,AutoAttack,46.93
10,cifar_fsr_tiny_patch16_224,Clean,80.36
11,cifar_fsr_tiny_patch16_224,PGD20,47.980000000000004
12,cifar_fsr_tiny_patch16_224,PGD100,47.77
13,cifar_fsr_tiny_patch16_224,C&W20,43.51
14,cifar_fsr_tiny_patch16_224,AutoAttack,42.03
15,cifar_sacnet_tiny_patch16_224,Clean,78.86999999999999
16,cifar_sacnet_tiny_patch16_224,PGD20,49.53
17,cifar_sacnet_tiny_patch16_224,PGD100,49.44
18,cifar_sacnet_tiny_patch16_224,C&W20,46.58
19,cifar_sacnet_tiny_patch16_224,AutoAttack,45.89
20,cifar_dh_at_tiny_patch16_224,Clean,80.12
21,cifar_dh_at_tiny_patch16_224,PGD20,50.29
22,cifar_dh_at_tiny_patch16_224,PGD100,50.18
23,cifar_dh_at_tiny_patch16_224,C&W20,47.349999999999994
24,cifar_dh_at_tiny_patch16_224,AutoAttack,46.63
25,cifar_robustquote3_tiny_patch16_224,Clean,57.58
26,cifar_robustquote3_tiny_patch16_224,PGD20,37.4
27,cifar_robustquote3_tiny_patch16_224,PGD100,37.29
28,cifar_robustquote3_tiny_patch16_224,C&W20,34.12
29,cifar_robustquote3_tiny_patch16_224,AutoAttack,24.73
30,cifar_robustquote6_tiny_patch16_224,Clean,70.89999999999999
31,cifar_robustquote6_tiny_patch16_224,PGD20,51.43
32,cifar_robustquote6_tiny_patch16_224,PGD100,51.44
33,cifar_robustquote6_tiny_patch16_224,C&W20,50.86000000000001
34,cifar_robustquote6_tiny_patch16_224,AutoAttack,36.74
35,cifar_robustquote9_unFreeze_tiny_patch16_224,Clean,76.05
36,cifar_robustquote9_unFreeze_tiny_patch16_224,PGD20,58.85
37,cifar_robustquote9_unFreeze_tiny_patch16_224,PGD100,58.63
38,cifar_robustquote9_unFreeze_tiny_patch16_224,C&W20,60.72
39,cifar_robustquote9_unFreeze_tiny_patch16_224,AutoAttack,44.55
40,cifar_robustquote9_alpha0_tiny_patch16_224,Clean,76.98
41,cifar_robustquote9_alpha0_tiny_patch16_224,PGD20,60.49
42,cifar_robustquote9_alpha0_tiny_patch16_224,PGD100,60.34
43,cifar_robustquote9_alpha0_tiny_patch16_224,C&W20,63.190000000000005
44,cifar_robustquote9_alpha0_tiny_patch16_224,AutoAttack,44.42
45,cifar_robustquote9_alpha10_tiny_patch16_224,Clean,77.33
46,cifar_robustquote9_alpha10_tiny_patch16_224,PGD20,60.6
47,cifar_robustquote9_alpha10_tiny_patch16_224,PGD100,60.260000000000005
48,cifar_robustquote9_alpha10_tiny_patch16_224,C&W20,63.07000000000001
49,cifar_robustquote9_alpha10_tiny_patch16_224,AutoAttack,44.16
50,cifar_robustquote9_alpha50_tiny_patch16_224,Clean,77.53
51,cifar_robustquote9_alpha50_tiny_patch16_224,PGD20,60.68
52,cifar_robustquote9_alpha50_tiny_patch16_224,PGD100,60.34
53,cifar_robustquote9_alpha50_tiny_patch16_224,C&W20,63.51
54,cifar_robustquote9_alpha50_tiny_patch16_224,AutoAttack,43.93
55,cifar_robustquote9_tiny_patch16_224,Clean,76.42999999999999
56,cifar_robustquote9_tiny_patch16_224,PGD20,60.56
57,cifar_robustquote9_tiny_patch16_224,PGD100,60.4
58,cifar_robustquote9_tiny_patch16_224,C&W20,64.22
59,cifar_robustquote9_tiny_patch16_224,AutoAttack,43.08
60,cifar_robustquote9_tiny_patch16_224,APGD-t,53.290000000000006
61,cifar_robustquote9_tiny_patch16_224,Square,64.67
62,cifar_robustquote9_tiny_patch16_224,RayS1000,50.86000000000001
63,cifar_robustquote9_tiny_patch16_224,PGD20 transfer DeiT-tiny,58.93000000000001
64,cifar_robustquote9_tiny_patch16_224,PGD20 transfer robustquote6-tiny,68.86
65,cifar_robustquote9_tiny_patch16_224,PGD20 (eps=2/255),72.81
66,cifar_robustquote9_tiny_patch16_224,PGD20 (eps=4/255),69.17999999999999
67,cifar_robustquote9_tiny_patch16_224,PGD20 (eps=16/255),43.24
68,cifar_robustquote9_tiny_patch16_224,PGD20 (eps=32/255),27.11
69,cifar_robustquote9_tiny_patch16_224,PGD20 (eps=64/255),14.899999999999999
70,cifar_robustquote9_tiny_patch16_224,PGD20 (eps=128/255),7.4399999999999995
71,cifar_robustquote9_tiny_patch16_224,PGD20 w/ knowledge,46.25
72,cifar_robustquote9_tiny_patch16_224,PGD100 w/ knowledge,46.01
73,cifar_robustquote9_tiny_patch16_224,C&W20 w/ knowledge,43.57
74,cifar_robustquote9_tiny_patch16_224,AutoAttack w/ knowledge,33.84
75,cifar_robustquote9_tiny_patch16_224,RayS1000 w/ knowledge,23.580000000000002
76,cifar_robustquote9_confLoss_tiny_patch16_224,Clean,79.49000000000001
77,cifar_robustquote9_confLoss_tiny_patch16_224,PGD20,62.06
78,cifar_robustquote9_confLoss_tiny_patch16_224,PGD100,60.69
79,cifar_robustquote9_confLoss_tiny_patch16_224,C&W20,64.28
80,cifar_robustquote9_confLoss_tiny_patch16_224,AutoAttack,43.82
81,cifar_robustquote9_alpha90_tiny_patch16_224,Clean,75.94
82,cifar_robustquote9_alpha90_tiny_patch16_224,PGD20,59.88
83,cifar_robustquote9_alpha90_tiny_patch16_224,PGD100,59.41
84,cifar_robustquote9_alpha90_tiny_patch16_224,C&W20,63.75999999999999
85,cifar_robustquote9_alpha90_tiny_patch16_224,AutoAttack,42.52
86,cifar_robustquote11_tiny_patch16_224,Clean,72.92999999999999
87,cifar_robustquote11_tiny_patch16_224,PGD20,60.440000000000005
88,cifar_robustquote11_tiny_patch16_224,PGD100,59.47
89,cifar_robustquote11_tiny_patch16_224,C&W20,65.3
90,cifar_robustquote11_tiny_patch16_224,AutoAttack,38.58
91,cifar_robustquote39_tiny_patch16_224,Clean,56.89999999999999
92,cifar_robustquote39_tiny_patch16_224,PGD20,32.4
