,Model,Attack,Accuracy
0,cifar_deit_tiny_patch16_224,Clean,79.41
1,cifar_deit_tiny_patch16_224,PGD20,49.41
2,cifar_deit_tiny_patch16_224,PGD100,49.38
3,cifar_deit_tiny_patch16_224,C&W20,46.19
4,cifar_deit_tiny_patch16_224,AutoAttack,45.56
5,cifar_deit_tiny_patch16_224_ARD_PRM,Clean,80.57
6,cifar_deit_tiny_patch16_224_ARD_PRM,PGD20,50.519999999999996
7,cifar_deit_tiny_patch16_224_ARD_PRM,PGD100,50.46000000000001
8,cifar_deit_tiny_patch16_224_ARD_PRM,C&W20,47.620000000000005
9,cifar_deit_tiny_patch16_224_ARD_PRM,AutoAttack,46.9
10,cifar_fsr_tiny_patch16_224,Clean,75.71
11,cifar_fsr_tiny_patch16_224,PGD20,42.75
12,cifar_fsr_tiny_patch16_224,PGD100,42.68
13,cifar_fsr_tiny_patch16_224,C&W20,39.08
14,cifar_fsr_tiny_patch16_224,AutoAttack,38.32
15,cifar_sacnet_tiny_patch16_224,Clean,77.03999999999999
16,cifar_sacnet_tiny_patch16_224,PGD20,47.89
17,cifar_sacnet_tiny_patch16_224,PGD100,47.81
18,cifar_sacnet_tiny_patch16_224,C&W20,45.22
19,cifar_sacnet_tiny_patch16_224,AutoAttack,44.42
20,cifar_dh_at_tiny_patch16_224,Clean,79.81
21,cifar_dh_at_tiny_patch16_224,PGD20,50.41
22,cifar_dh_at_tiny_patch16_224,PGD100,50.370000000000005
23,cifar_dh_at_tiny_patch16_224,C&W20,47.089999999999996
24,cifar_dh_at_tiny_patch16_224,AutoAttack,46.4
25,cifar_robustquote3_tiny_patch16_224,Clean,74.48
26,cifar_robustquote3_tiny_patch16_224,PGD20,42.88
27,cifar_robustquote3_tiny_patch16_224,PGD100,42.64
28,cifar_robustquote3_tiny_patch16_224,C&W20,39.1
29,cifar_robustquote3_tiny_patch16_224,AutoAttack,37.72
30,cifar_robustquote6_tiny_patch16_224,Clean,79.27
31,cifar_robustquote6_tiny_patch16_224,PGD20,56.879999999999995
32,cifar_robustquote6_tiny_patch16_224,PGD100,57.14
33,cifar_robustquote6_tiny_patch16_224,C&W20,56.220000000000006
34,cifar_robustquote6_tiny_patch16_224,AutoAttack,44.27
35,cifar_robustquote9_alpha0_tiny_patch16_224,Clean,72.63
36,cifar_robustquote9_alpha0_tiny_patch16_224,PGD20,55.24
